category,link,name,current_price,avg_stars,num_reviews
telephone-tablette,https://www.jumia.ma/itel-p55-8gb44gb128gb-45w-50mp-6.6-royal-green-64489296.html,"Itel P55+ 8GB(4+4GB)/128GB, 45W, 50MP, 6.6”, Royal Green",1199.0,3.9,32
telephone-tablette,https://www.jumia.ma/samsung-galaxy-a15-8g-256gb-bleu-64585524.html,Samsung Galaxy A15 - 8G + 256GB - Bleu,2245.0,4.0,2
telephone-tablette,https://www.jumia.ma/xiaomi-buds-4-active-earphone-tws-bluetooth-5.3-noise-cancelling-waterproof-63072625.html,"XIAOMI Buds 4 Active Earphone TWS, Bluetooth 5.3, Noise Cancelling, Waterproof",269.0,3.9,23
telephone-tablette,https://www.jumia.ma/sunpin-4in1-power-bank-10000-mah-a-affichage-numerique-avec-cable-integre-64217526.html,SUNPIN 4in1 Power Bank 10000 MAh à Affichage numérique avec câble intégré,195.0,4.1,9
telephone-tablette,https://www.jumia.ma/montre-securite-q12-carte-sim-pour-enfant-generic-mpg1460102.html,"Montre intelligente connectée enfant Smart watch Smartwatch GPS,Camera,SOS,SIM.",174.0,3.2,19
telephone-tablette,https://www.jumia.ma/xiaomi-redmi-watch-3-active-289mah-ultra-large-1.83-water-resistance-bluetoothr-5.3-63944852.html,"XIAOMI Redmi Watch 3 Active 289mAh Ultra-large 1.83"" water resistance Bluetooth® 5.3",437.0,3.9,15
telephone-tablette,https://www.jumia.ma/itel-p55-16gb88gb256gb-45w-50mp-6.6-royal-green-64732429.html,"Itel P55+ 16GB(8+8GB)/256GB, 45W, 50MP, 6.6”, Royal Green",1400.0,5.0,2
telephone-tablette,https://www.jumia.ma/support-de-trepied-a-360-degres-pour-stabilisateur-pliable-generic-mpg1367229.html,Support de trépied à 360 degrés pour stabilisateur pliable,99.0,4.0,18
telephone-tablette,https://www.jumia.ma/smart-watch-t500-montre-intelligente-smart-watsh-full-appel-etanche-frequence-cardiaque-64677703.html,Smart Watch T500 Montre intelligente smart watsh Full  appel étanche fréquence cardiaque,195.0,5.0,1
telephone-tablette,https://www.jumia.ma/lenovo-lp40-tws-noire-veritable-ecouteurs-sans-fil-bluetooth-57525809.html,Lenovo LP40 TWS - Noire - véritable écouteurs sans fil Bluetooth,139.0,3.9,37
telephone-tablette,https://www.jumia.ma/lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-control-dual-stereo-bass-headset-lenovo-mpg934337.html,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch Control Dual Stereo Bass headset,139.0,4.0,34
telephone-tablette,https://www.jumia.ma/generic-smart-watch-series-8-ultra-avec-2-bracelet-et-earpods-bluetooth-64141604.html,Smart watch Series 8 ultra avec 2 bracelet et earpods Bluetooth,195.0,3.4,11
telephone-tablette,https://www.jumia.ma/moi-ecouteurs-sans-fil-mini-air1-bluetooth-pour-telephone-portable-61487271.html,Moi Écouteurs sans-fil Mini Air1 Bluetooth pour téléphone portable,129.0,4.0,62
telephone-tablette,https://www.jumia.ma/phone-106-double-sim-1.8-led-lampe-memoire-de-2000-contacts-nokia-mpg1458524.html,"Nokia Phone 106 -DOUBLE SIM - 1.8"" - LED LAMPE -Mèmoire de 2000 Contacts",189.4,5.0,3
telephone-tablette,https://www.jumia.ma/smart-bracelet-y68-smart-watsh-montre-intelligente-avec-ecran-tactile-bluetooth-smart-braclet-50863879.html,Smart Bracelet Y68 smart watsh montre intelligente avec écran tactile Bluetooth Smart braclet,89.0,3.0,4
telephone-tablette,https://www.jumia.ma/generic-ecouteurs-bluetooth-5.3-sans-fil-avec-microphone-earbuds-et-powerbank-indicateur-de-batterie-led-et-lampe-64876551.html,Écouteurs Bluetooth 5.3 sans Fil avec Microphone EarBuds  et Powerbank + Indicateur de batterie LED et lampe,96.0,3.3,13
telephone-tablette,https://www.jumia.ma/generic-support-trepied-reglable-au-solsupportperche-a-selfie-flexible-pour-telephone-et-tablette-64877795.html,Support Trépied réglable au sol/support/perche à selfie flexible pour téléphone et tablette,129.0,5.0,1
telephone-tablette,https://www.jumia.ma/generic-ecouteurs-bluetooth-5.3-sans-fil-avec-microphone-earbuds-indicateur-de-batterie-led-64134410.html,Écouteurs Bluetooth 5.3 sans Fil avec Microphone EarBuds  Indicateur de batterie LED,66.0,3.7,70
telephone-tablette,https://www.jumia.ma/xiaomi-redmi-buds-4-lite-black-64642942.html,XIAOMI Redmi Buds 4 Lite (Black),188.0,4.4,20
telephone-tablette,https://www.jumia.ma/m10-tws-true-wireless-bluetooth-earbudstouch-earbuds-headphone-bt-5.1-generic-mpg1259499.html,M10 TWS True Wireless Bluetooth EarbudsTouch Earbuds headphone BT 5.1,49.0,3.7,164
telephone-tablette,https://www.jumia.ma/xiaomi-redmi-note-13-6.67-6gb128gb-ice-blue-64641487.html,"XIAOMI REDMI NOTE 13 – 6.67""- 6GB+128GB – ICE BLUE",2049.0,4.3,9
telephone-tablette,https://www.jumia.ma/generic-ecouteurs-bluetooth-pro-6-pour-tout-les-telephone-portable-52094184.html,écouteurs Bluetooth Pro 6 pour tout les téléphone portable,99.0,3.9,24
